// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Lammassu Hub
STATION;type;Enterprise Hub
STATION;owner;Dueemifie Uomi
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;5
STATION;icon;lammassu.png
STATION;filename;sector_63_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-5-0-5-3-2-2-0-2-4-2-3-0-7-2-1-0-0-6-8-1-5-0
STATION;interior_seed;5-0-30-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;33395.59
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;0.54;npc_ship_data_(recon_carrier_1).txt
MERC;7;1.21;npc_ship_data_(pirate_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Production: (1) Items ;322x381;259052.00;64338.97
ITEM;2438;15;0.73;53619.92
ITEM;664;1;1.19;81888.56
ITEM;727;34;1.04;16459.69
ITEM;311;24;1.00;135.03
ITEM;729;79;0.50;8359.69
ITEM;109;286;1.01;4.78
ITEM;406;28;0.53;0.65
ITEM;403;45;0.86;1.01
ITEM;101;223;0.79;1.53
ITEM;168;154;0.66;18.61
ITEM;623;12;1.22;47919.66
ITEM;110;702;1.00;16.97
ITEM;603;17;1.22;47919.66
ITEM;325;38;1.15;389.91
ITEM;404;28;0.99;1.15
ITEM;200;317;0.57;46.58
ITEM;300;7;1.07;112.22
ITEM;1779;14;0.53;323054.20
ITEM;1780;6;1.15;639939.60
ITEM;1778;40;0.54;340502.20
ITEM;301;42;1.08;28.77
ITEM;332;48;0.74;2220.24
ITEM;2441;15;0.79;76806.34
ITEM;661;24;0.51;6949.58
ITEM;108;251;0.89;12.67
ITEM;2002;470;0.53;179.88
ITEM;660;13;0.83;6211.19
ITEM;2416;4;0.73;15755.70
ITEM;2004;124;1.01;395.55
ITEM;643;1;0.50;20908.14
ITEM;24;96;0.60;115.29
ITEM;702;54;0.59;6473.13
ITEM;322;46;1.20;831.49
ITEM;204;66;0.90;104.07
ITEM;343;0;1.32;10692.75
ITEM;341;0;1.19;8225.38
ITEM;324;40;0.85;2265.56
ITEM;735;29;0.79;6354844.00
ITEM;1170;10;1.07;2705.55
ITEM;1002;44;1.22;2554.63
ITEM;2124;80;0.78;9210.44
ITEM;2112;184;0.76;9807.75
ITEM;1050;11;0.55;1214.63
ITEM;1054;17;0.95;2417.55
ITEM;313;36;0.57;184.45
ITEM;2;258;0.67;8.40
ITEM;604;7;1.23;84514.64
ITEM;405;14;1.13;1.31
ITEM;602;13;0.95;21594.77
ITEM;673;56;0.67;52366.50
ITEM;743;78;1.10;190956.60
ITEM;748;11;1.18;204156.60
ITEM;731;86;0.93;162906.60
ITEM;102;381;1.15;3.75
ITEM;331;39;0.89;204.24
ITEM;2274;42;0.66;516465.00
ITEM;746;59;0.94;44879.06
ITEM;621;6;0.92;11972.08
ITEM;2126;96;0.67;98005.36
ITEM;1102;47;0.71;18799.16
ITEM;2120;179;1.04;134420.80
ITEM;757;66;0.95;45329.06
ITEM;1611;40;0.94;33908.63
ITEM;2254;6;0.60;315510.00
ITEM;305;42;0.84;209.25
ITEM;105;611;0.78;6.48
ITEM;2009;421;0.78;499.76
ITEM;20;490;1.14;25.14
ITEM;219;408;0.51;143.60
ITEM;304;48;0.97;775.21
ITEM;747;57;0.71;76731.25
ITEM;2451;3;0.77;264740.00
ITEM;2428;24;1.13;48517.15
ITEM;701;11;1.09;10325.81
ITEM;691;87;1.09;9178.50
ITEM;690;29;0.61;4671.19
ITEM;4;50;1.19;39.22
ITEM;155;17;0.73;13.95
ITEM;104;455;1.12;4.39
ITEM;320;17;0.91;1373.47
ITEM;676;27;0.72;11659.69
ITEM;732;85;1.01;16009.69
ITEM;750;52;0.91;14509.69
ITEM;756;24;0.78;12559.69
ITEM;1461;27;0.59;137553.90
ITEM;214;19;0.83;192.92
ITEM;23;312;0.69;77.10
ITEM;161;197;0.96;33.57
ITEM;2353;34;0.78;276.31
ITEM;728;7;0.50;8359.69
ITEM;210;87;1.12;174.83
ITEM;2397;16;0.96;7465.04
ITEM;212;307;0.54;107.33
ITEM;321;31;0.89;2421.71
ITEM;106;645;0.98;9.64
ITEM;601;1;0.92;11972.08
ITEM;150;325;0.52;6.35
ITEM;303;21;0.92;893.15
ITEM;342;0;1.32;6841.01
ITEM;107;708;1.21;14.13
ITEM;644;1;0.93;64819.04
ITEM;206;360;0.94;131.19
ITEM;407;12;0.82;4.83
ITEM;103;42;1.11;2.52
ITEM;330;8;0.72;1184.24
ITEM;2171;41;0.51;5705340.00
ITEM;165;252;0.62;36.00
ITEM;118;336;0.83;4.76
ITEM;1623;42;0.87;222555.00
ITEM;1583;48;0.91;216678.00
ITEM;1114;14;0.81;286332.80
ITEM;1072;20;0.90;316045.20
ITEM;2116;129;0.72;1399746.00
ITEM;1618;27;0.54;90791.50
ITEM;1503;1;1.25;219628.50
ITEM;1074;12;1.03;391595.60
ITEM;2256;38;0.53;1127640.00
ITEM;600;9;0.71;5371.19
ITEM;1534;10;0.68;294925.00
ITEM;1754;7;0.86;587080.00
ITEM;1767;49;0.67;779665.90
ITEM;1762;45;0.86;1039533.00
ITEM;1654;10;0.68;294925.00
ITEM;2111;14;0.58;3682013.00
ITEM;2129;21;0.95;5819653.00
ITEM;2117;120;1.13;7483186.00
ITEM;2123;13;1.11;6130945.00
ITEM;1614;20;0.97;279429.00
ITEM;3;102;1.03;20.72
ITEM;726;8;1.04;16459.69
ITEM;154;323;0.79;37.21
ITEM;114;635;0.57;1.62
ITEM;21;51;0.78;29.89
ITEM;2432;39;0.95;38724.11
ITEM;113;519;0.76;5.27
ITEM;722;33;0.58;3823.88
ITEM;216;260;0.91;254.48
ITEM;2379;29;0.85;2387.14
ITEM;693;40;1.19;6236.56
ITEM;703;86;1.04;7681.19
ITEM;720;83;0.64;4183.88
ITEM;217;476;1.25;378.31
ITEM;710;12;0.58;5098.50
ITEM;323;45;0.69;1338.29
ITEM;2344;6;0.75;107.37
ITEM;156;70;0.71;14.95
ITEM;642;16;1.01;22881.04
ITEM;340;0;1.22;2353.46
ITEM;640;15;1.16;8521.19
ITEM;162;129;1.08;41.28
ITEM;754;45;0.67;181828.10
ITEM;5;437;0.90;49.67
ITEM;333;33;0.82;6622.61
ITEM;22;113;0.95;61.13
ITEM;624;22;0.94;65475.56
ITEM;663;18;0.69;28036.18
ITEM;662;8;0.67;15592.13
ITEM;100;615;1.04;1.65
ITEM;408;38;1.05;13.40
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;64;1.72
SKILL;221;1.96
SKILL;24;1.64
SKILL;36;1.26
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;32;45;504122;TRANSPORT#6#1542#sector_57_station_0.txt#sector_47_station_0.txt#null#null#null#null;Move light cargo from OmniTrust in <color='cyan'>Ponze</color> and dock with <color='yellow'>6</color> <color='yellow'>Advanced Mass Reductions</color> at Gunstellar in <color='cyan'>Adrenal</color>;3;<i>Kaddza Pastriwit</i> was unable to complete a large shipment from OmniTrust to Gunstellar. A light shipment containing <color='yellow'>6</color> <color='yellow'>Advanced Mass Reductions</color> is located at the storage bay at OmniTrust in <color='cyan'>Ponze</color>. Retrieve the <color='yellow'>Advanced Mass Reductions</color> and transport them to Gunstellar in <color='cyan'>Adrenal</color>.;27219;12059
MISSION;60;45;126142;HARVEST#70#1#sector_3.txt#sector_40_station_0.txt#null#null#null#null;Harvest special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Starfort Ramos</color> and return with <color='yellow'>70</color> ore to Legistron in <color='cyan'>Dogstar Prime</color>;3;A local prospector, <i>Ceeeno Welifae</i> of the Trade faction has located a light quantity of special <color='yellow'>Special Adamyte Ore</color> in the <color='cyan'>Starfort Ramos</color> sector. Head over there and harvest all of the special <color='yellow'>Special Adamyte Ore</color>, and meet <i>Ceeeno Welifae</i> back at Legistron station located in the <color='cyan'>Dogstar Prime</color>.;12391;3375
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.96;ship_data_(support_cruiser_1).txt
SHIP;2;0.93;ship_data_(pirate_frigate_1).txt
SHIP;3;1.01;ship_data_(pirate_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

