// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Valuestar Hub
STATION;type;Market Center
STATION;owner;Bosadjan Wagen
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;8
STATION;icon;valuestar.png
STATION;filename;sector_62_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-0-5-0-3-5-1-6-5-3-9-1-4-7-3-2-90
STATION;interior_seed;5-0-45-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;20752.36
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.56;npc_ship_data_(battle_cruiser_1).txt
MERC;3;0.50;npc_ship_data_(excavation_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (2) Items ;61x45,75x72;43418.00;40116.78
ITEM;2371;72;0.94;1588.541
ITEM;8;457;1.12;275.3969
ITEM;115;809;0.53;275.3969
ITEM;664;2;0.50;275.3969
ITEM;665;22;0.87;275.3969
ITEM;727;89;0.92;14749.79
ITEM;2480;69;0.51;14749.79
ITEM;311;69;0.90;122.0393
ITEM;729;153;0.72;122.0393
ITEM;116;507;1.02;122.0393
ITEM;109;1051;1.14;122.0393
ITEM;353;72;1.18;5427.986
ITEM;406;68;1.19;5427.986
ITEM;403;51;1.14;1.323721
ITEM;101;228;0.86;1.323721
ITEM;168;542;0.83;1.323721
ITEM;623;16;0.56;1.323721
ITEM;606;22;1.25;1.323721
ITEM;110;931;0.62;1.323721
ITEM;605;8;0.74;91621.67
ITEM;603;26;0.99;39479.73
ITEM;325;30;0.65;228.156
ITEM;404;15;0.70;228.156
ITEM;300;20;1.01;228.156
ITEM;1779;10;0.57;228.156
ITEM;2192;79;1.09;7210285
ITEM;301;56;1.15;7210285
ITEM;2031;430;1.20;7210285
ITEM;666;30;0.78;7210285
ITEM;661;15;0.70;7210285
ITEM;108;452;1.15;7210285
ITEM;2003;368;0.69;254.1889
ITEM;660;26;0.78;254.1889
ITEM;2034;172;1.07;254.1889
ITEM;112;659;0.53;254.1889
ITEM;2004;779;1.18;460.1852
ITEM;7;29;1.18;460.1852
ITEM;643;37;0.56;460.1852
ITEM;11;675;1.23;460.1852
ITEM;24;611;0.63;121.9282
ITEM;738;62;1.00;121.9282
ITEM;702;54;0.77;8255.47
ITEM;27;481;0.83;8255.47
ITEM;322;73;1.06;8255.47
ITEM;204;384;0.83;96.95344
ITEM;2038;155;0.55;1797.515
ITEM;343;27;0.89;1797.515
ITEM;341;14;0.78;1797.515
ITEM;324;11;0.70;1797.515
ITEM;1052;73;1.17;1797.515
ITEM;1200;47;1.14;1797.515
ITEM;313;27;0.73;1797.515
ITEM;2167;59;0.89;1797.515
ITEM;2;379;1.09;1797.515
ITEM;604;17;1.19;1797.515
ITEM;405;72;0.87;1797.515
ITEM;602;38;0.69;1797.515
ITEM;2007;459;0.65;1797.515
ITEM;2008;289;0.88;512.0172
ITEM;681;42;0.95;512.0172
ITEM;673;25;0.62;512.0172
ITEM;675;10;0.97;512.0172
ITEM;759;97;0.82;512.0172
ITEM;671;25;0.62;512.0172
ITEM;102;1082;1.19;512.0172
ITEM;627;21;1.03;512.0172
ITEM;331;5;0.83;512.0172
ITEM;646;33;0.74;512.0172
ITEM;1531;71;1.01;512.0172
ITEM;746;22;0.67;512.0172
ITEM;2214;21;0.79;512.0172
ITEM;621;8;1.03;512.0172
ITEM;1172;0;0.66;21061.5
ITEM;1172;99;0.67;21061.5
ITEM;2156;21;1.06;21061.5
ITEM;1014;18;1.19;21061.5
ITEM;2102;17;0.78;21061.5
ITEM;2126;269;1.11;21061.5
ITEM;1015;3;0.93;29154.86
ITEM;2114;314;0.59;29154.86
ITEM;2120;341;0.61;82572.89
ITEM;1402;70;0.91;47672.11
ITEM;1611;10;0.76;27843.58
ITEM;2254;14;0.94;27843.58
ITEM;305;42;1.19;27843.58
ITEM;105;866;0.77;27843.58
ITEM;2009;685;0.95;600.3555
ITEM;2010;622;0.92;446.2456
ITEM;20;729;0.79;446.2456
ITEM;304;56;1.09;446.2456
ITEM;747;91;0.74;446.2456
ITEM;2012;736;0.97;446.2456
ITEM;677;30;0.78;38033.15
ITEM;733;12;0.73;38033.15
ITEM;211;286;0.54;38033.15
ITEM;752;81;1.09;38033.15
ITEM;2475;53;0.72;38033.15
ITEM;712;15;1.01;38033.15
ITEM;209;304;0.56;38033.15
ITEM;701;51;1.26;11845.84
ITEM;691;25;0.25;11845.84
ITEM;692;11;1.12;11845.84
ITEM;700;68;1.06;11845.84
ITEM;690;25;0.32;11845.84
ITEM;4;60;1.21;11845.84
ITEM;104;987;1.15;11845.84
ITEM;166;444;0.89;55.41349
ITEM;203;48;0.74;55.41349
ITEM;350;42;0.63;55.41349
ITEM;320;22;1.14;55.41349
ITEM;352;54;0.70;6803.182
ITEM;672;43;0.83;6803.182
ITEM;740;107;0.60;6803.182
ITEM;745;6;0.88;6803.182
ITEM;674;25;0.73;6803.182
ITEM;676;25;0.64;6803.182
ITEM;750;109;0.99;6803.182
ITEM;670;40;0.77;17421.53
ITEM;23;291;0.69;17421.53
ITEM;160;498;0.73;17421.53
ITEM;728;5;0.60;17421.53
ITEM;210;745;0.79;17421.53
ITEM;2397;55;0.70;17421.53
ITEM;25;301;0.99;17421.53
ITEM;321;54;0.58;1630.919
ITEM;121;150;1.30;54.25292
ITEM;106;995;0.53;54.25292
ITEM;601;21;1.25;54.25292
ITEM;303;26;1.21;54.25292
ITEM;342;76;0.91;54.25292
ITEM;107;242;0.92;10.94335
ITEM;644;24;1.10;10.94335
ITEM;407;50;0.50;10.94335
ITEM;103;863;0.65;10.94335
ITEM;330;73;1.24;1987.201
ITEM;607;29;0.78;1987.201
ITEM;2171;44;0.82;1987.201
ITEM;6;411;0.77;1987.201
ITEM;118;1123;0.77;1987.201
ITEM;170;31;0.97;1987.201
ITEM;1753;26;0.97;1987.201
ITEM;1026;72;1.22;1987.201
ITEM;2128;310;1.07;1987.201
ITEM;1206;75;1.03;1987.201
ITEM;2164;40;1.07;1987.201
ITEM;1164;44;0.62;1987.201
ITEM;1070;11;0.59;1987.201
ITEM;2122;167;0.78;1987.201
ITEM;1593;77;1.21;1987.201
ITEM;213;189;0.57;1987.201
ITEM;2376;31;1.13;1987.201
ITEM;600;19;0.96;7130.62
ITEM;42;0;2.05;7130.62
ITEM;52;0;1.72;7130.62
ITEM;1524;61;0.95;324083.8
ITEM;2227;75;1.06;324083.8
ITEM;62;0;1.76;1298.868
ITEM;2165;31;0.77;1298.868
ITEM;1006;7;0.96;1298.868
ITEM;2117;398;0.90;1298.868
ITEM;1405;14;0.96;1298.868
ITEM;1604;66;0.51;1298.868
ITEM;1564;19;1.02;466712.9
ITEM;2267;31;0.69;466712.9
ITEM;77;0;1.65;2027.406
ITEM;3;584;1.04;20.88862
ITEM;726;29;1.11;20.88862
ITEM;164;575;0.80;13.93758
ITEM;154;554;0.96;13.93758
ITEM;114;258;0.73;13.93758
ITEM;21;568;0.82;13.93758
ITEM;2440;40;1.23;13.93758
ITEM;113;721;1.06;13.93758
ITEM;721;101;1.24;7792.551
ITEM;2460;23;1.04;7792.551
ITEM;216;712;0.81;7792.551
ITEM;693;25;0.92;7792.551
ITEM;720;119;0.89;7792.551
ITEM;217;638;0.73;7792.551
ITEM;755;128;0.63;7792.551
ITEM;159;693;1.02;7792.551
ITEM;725;11;1.21;7792.551
ITEM;626;1;0.60;7792.551
ITEM;117;1186;1.04;7792.551
ITEM;152;330;0.59;7792.551
ITEM;156;505;0.87;7792.551
ITEM;2348;17;0.79;166.2344
ITEM;625;32;0.74;166.2344
ITEM;642;3;0.66;166.2344
ITEM;340;49;1.08;1686.017
ITEM;640;7;0.99;1686.017
ITEM;645;22;0.80;1686.017
ITEM;2365;22;0.56;1686.017
ITEM;647;23;1.23;1686.017
ITEM;744;88;0.61;1686.017
ITEM;754;79;0.83;1686.017
ITEM;760;120;1.21;317953.6
ITEM;124;595;1.11;80.94884
ITEM;2020;546;0.81;696.7513
ITEM;5;796;1.12;696.7513
ITEM;333;51;1.10;696.7513
ITEM;22;467;0.74;696.7513
ITEM;624;19;0.89;696.7513
ITEM;663;19;1.02;696.7513
ITEM;662;2;0.85;696.7513
ITEM;100;578;1.16;696.7513
ITEM;26;510;0.68;696.7513
ITEM;408;755;0.41;696.7513
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;53;1.67
SKILL;12;0.51
SKILL;23;0.88
SKILL;227;1.76
SKILL;225;1.15
SKILL;24;1.16
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;111;60;232750;KILL_RAIDERS#sector_15_station_0.txt#sector_13.txt#1#20#npc_ship_data_(pirate_utility_2)#random#random#random;Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Jala</color>. Return to Crystalis Broadcasting in <color='cyan'>Jermicus</color>;4;A medium group of thugs decided to set up camp in the <color='cyan'>Jala</color> system. <i>Emiyel Gentafqa</i>, who has recently been elected as Overseer of <color='cyan'>Jala</color> by the Financials, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 20 raiders and return to the Crystalis Broadcasting station.;16846;8423
MISSION;31;45;983201;TRANSPORT#1#1072#sector_47_station_0.txt#sector_16_station_0.txt#null#null#null#null;Head to Gunstellar in <color='cyan'>Adrenal</color>, pick up <color='yellow'>1</color> <color='yellow'>Premium Missile Launcher</color> for a light shipment to Rendo Labs in <color='cyan'>Entropy</color>;3;The Trade faction advisor <i>Xapast Arsdemikom</i> has placed a light shipment transport order to move <color='yellow'>1</color> <color='yellow'>Premium Missile Launcher</color> from the Gunstellar storage in <color='cyan'>Adrenal</color>, to the Rendo Labs in <color='cyan'>Entropy</color>.;13783;6892
MISSION;41;45;728912;SCAN_PILOT#sector_3_station_0.txt#sector_60.txt#Bishop Wheasad Ajate#npc_ship_data_(ATC_Conqueror)#9#null#null#null;Find <color='yellow'><i>Bishop Wheasad Ajate</i></color> in <color='cyan'>Veloxi</color>, scan their ship, and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;3;<color='yellow'><i>Bishop Wheasad Ajate</i></color> has recently been paroled for a capital crime, and their parole officer has received information about a possible raid in <color='cyan'>Veloxi</color>. Head to <color='cyan'>Veloxi</color> and perform a scan of <color='yellow'><i>Bishop Wheasad Ajate</i></color>'s ship and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color> with the scan data for review.;11743;3500
MISSION;111;60;790408;KILL_RAIDERS#sector_20_station_0.txt#sector_15.txt#1#20#npc_ship_data_(VVS_Infiltrator)#random#random#random;Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Jermicus</color>. Return to Medicore University in <color='cyan'>Cliffs of Drameria</color>;3;A medium group of thugs decided to set up camp in the <color='cyan'>Jermicus</color> system. <i>Tellei Wenpa</i>, who has recently been elected as Overseer of <color='cyan'>Jermicus</color> by the Trades, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 20 raiders and return to the Medicore University station.;16846;8423
MISSION;62;45;384185;HARVEST#107#1#sector_0.txt#sector_0_station_5.txt#null#null#null#null;Excavate special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Void Starcross</color> and return with <color='yellow'>107</color> to Proctors Center in <color='cyan'>Void Starcross</color>;5;<i>Pastlow Opkol</i> has discovered a light deposit of <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Void Starcross</color>. He is currently unable to mine the <color='yellow'>Special Adamyte Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>107</color> <color='yellow'>Special Adamyte Ore</color>. Once complete, head over and meet <i>Pastlow Opkol</i> at the Proctors Center station located in the <color='cyan'>Void Starcross</color>.;20673;8614
MISSION;31;45;526551;TRANSPORT#9#25#sector_15_station_0.txt#sector_36_station_0.txt#null#null#null#null;Head to Crystalis Broadcasting in <color='cyan'>Jermicus</color>, pick up <color='yellow'>9</color> <color='yellow'>Module Fragments</color> for a light shipment to Blargg's in <color='cyan'>Beacon Spita</color>;3;The Trade faction advisor <i>Dalebem Galerast</i> has placed a light shipment transport order to move <color='yellow'>9</color> <color='yellow'>Module Fragments</color> from the Crystalis Broadcasting storage in <color='cyan'>Jermicus</color>, to the Blargg's in <color='cyan'>Beacon Spita</color>.;14413;4923
MISSION;71;45;950313;ESCORT#sector_18_station_0.txt#sector_0_station_2.txt#Bishop Oiwha Beldomast#npc_ship_data_(VVS_Thorn)#18#null#null#null;<color='yellow'><i>Bishop Oiwha Beldomast</i></color> requests an escort from Dreamstar in <color='cyan'>Gendaria</color> to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;4;The Astrox Security Patrol has posted a contract for the safe delivery of a <color='yellow'><i>Bishop Oiwha Beldomast</i></color>, wanted for questioning in a non-violent incident a few cycles ago in the <color='cyan'>Gendaria</color> system. Escort <color='yellow'><i>Bishop Oiwha Beldomast</i></color> from Dreamstar to StarGypsy Warehouse in the <color='cyan'>Void Starcross</color> system.;11743;3500
MISSION;141;90;558341;REFINE#4#26#sector_35_station_0.txt#sector_3_station_0.txt#null#null#null#null;Refine a light container of <color='yellow'>4</color> <color='yellow'>Weapons Components</color> at the Astrox Security Patrol station in <color='cyan'>Felishar</color>;4;The Financial Faction has commissioned a refinery liaison, <i>Xendo Madzeno</i> at Daemon Ammunitions. After an audit, <color='yellow'>4</color> items of <color='yellow'>Weapons Components</color> were left unused. Head on over to <color='cyan'>Felishar</color> and refine these <color='yellow'>Weapons Components</color> at the Astrox Security Patrol refinery.;13125;3938
MISSION;127;45;357948;CHAT_PILOT#sector_15_station_0.txt#sector_1.txt#Private Foefon Oawelita#npc_ship_data_(ATC_Mantis)#6#missions_transfer_pilot.txt#0#null;Transfer a legal document to <color='yellow'><i>Private Foefon Oawelita</i></color> in <color='cyan'>Dellis Primeria</color>. Return with confirmation at Crystalis Broadcasting in <color='cyan'>Jermicus</color>;3;<color='yellow'><i>Private Foefon Oawelita</i></color> is required to provide the Trade faction a signed legal document. <color='yellow'><i>Private Foefon Oawelita</i></color> has returned this document unsigned. Last known sighting of <color='yellow'><i>Private Foefon Oawelita</i></color> was in the area of <color='cyan'>Dellis Primeria</color>. Locate them and resolve this problem. Then return to Crystalis Broadcasting in the <color='cyan'>Jermicus</color> system to deliver confirmation.;351855;175928
MISSION;123;45;428475;CHAT_PILOT#sector_0_station_0.txt#sector_47.txt#Commander Couhom Nibin#npc_ship_data_(recon_battlecruiser_5)#17#missions_arrest_escort.txt#0#null;Detain <color='yellow'><i>Commander Couhom Nibin</i></color> in <color='cyan'>Adrenal</color> and escort them to Biomate University in <color='cyan'>Void Starcross</color>;4;<i>Zejan Foalqu</i> has requested that <color='yellow'><i>Commander Couhom Nibin</i></color> be escorted back into custody. Authorities of the Financial faction has determined guilt opon the accused. <color='yellow'><i>Commander Couhom Nibin</i></color> has refused to cooperate with the courts. Last known sighting of <color='yellow'><i>Commander Couhom Nibin</i></color> was in the vicinity of the <color='cyan'>Adrenal</color> system. Have a chat with them ann bring them back for further questioning.;42876;24118
MISSION;51;30;898457;SCAN_STRUCTURE#sector_78_station_0.txt#sector_35.txt#Labor United#structure_habitat_1.txt#1#null#null#null;Find the target <color='yellow'>Labor United</color> structure in <color='cyan'>Felishar</color>, scan, and return to Tella's in <color='cyan'>Bitcola</color>;3;<i>Horeco Ileqebor</i> has requested that someone verify the location of <color='yellow'>Labor United</color> in the <color='cyan'>Felishar</color> sector. After a recent mix-up at the zoning office, the Trade reps are concerned that construction guidelines were not followed properly. Return to the Tella's station located in the <color='cyan'>Bitcola</color> with the scan data.;13878;5250
MISSION;22;120;353359;COLLECT#54#211#sector_77_station_0.txt#sector_35_station_0.txt#null#null#null#null;Return to Lacuna Bandits in <color='cyan'>Ballast Crow</color> with a light collection of <color='yellow'>54</color> <color='yellow'>Large Processors</color>;5;A request has been made by the Overseer of Lacuna Bandits in <color='cyan'>Ballast Crow</color> for the acquisition of <color='yellow'>54</color> <color='yellow'>Large Processors</color>. <i>Janbar Jalistides</i> will reimburse you for the cost of the items, as well as payment for your troubles.;21055;6317
MISSION;22;120;594167;COLLECT#3#1300#sector_58_station_0.txt#sector_0_station_4.txt#null#null#null#null;Return to CoraVault in <color='cyan'>Lins</color> with a light collection of <color='yellow'>3</color> <color='yellow'>Tractor Beams</color>;3;A request has been made by the Overseer of CoraVault in <color='cyan'>Lins</color> for the acquisition of <color='yellow'>3</color> <color='yellow'>Tractor Beams</color>. <i>Duebira Vakse</i> will reimburse you for the cost of the items, as well as payment for your troubles.;21055;6317
MISSION;132;45;139837;SALVAGE#104#20#sector_0.txt#sector_62_station_0.txt#null#null#null#null;Dismantle <color='yellow'>Special Junk Part</color> in <color='cyan'>Void Starcross</color> and return with <color='yellow'>104</color> to Valuestar Hub in <color='cyan'>Jelumus</color>;3;<i>Wenron Visto</i> has discovered a light cache of <color='yellow'>Special Junk Part</color> in <color='cyan'>Void Starcross</color>. He is currently unable to dismantle the <color='yellow'>Special Junk Part</color>, and has requested a pilot to head over and salvage the <color='yellow'>104</color> <color='yellow'>Special Junk Part</color>. Once complete, head over and meet <i>Wenron Visto</i> at the Valuestar Hub station located in the <color='cyan'>Jelumus</color>.;20673;8614
MISSION;141;90;480155;REFINE#5#8#sector_5_station_0.txt#sector_36_station_0.txt#null#null#null#null;Refine a light container of <color='yellow'>5</color> <color='yellow'>Belasite Ores</color> at the Mazu Starship station in <color='cyan'>Enoch Estates</color>;3;The Trade Faction has commissioned a refinery liaison, <i>Kaddemi Yelvisles</i> at Blargg's. After an audit, <color='yellow'>5</color> items of <color='yellow'>Belasite Ores</color> were left unused. Head on over to <color='cyan'>Enoch Estates</color> and refine these <color='yellow'>Belasite Ores</color> at the Mazu Starship refinery.;27349;9188
MISSION;40;45;122946;SCAN_PILOT#sector_57_station_0.txt#sector_59.txt#Entertainer Zilsyou Veswelibaz#npc_ship_data_(Heavy_drone_carrier_7)#24#null#null#null;Locate and scan <color='yellow'><i>Entertainer Zilsyou Veswelibaz</i></color> in <color='cyan'>Coralor</color> and return to OmniTrust in <color='cyan'>Ponze</color>;4;<i>Poefou Telrestxul</i> has requested a location verification on a recent employee. <color='yellow'><i>Entertainer Zilsyou Veswelibaz</i></color> is supposed to be running a survey in <color='cyan'>Coralor</color>. Please verify the location of this pilot by scanning their ship and return to OmniTrust in <color='cyan'>Ponze</color>.;5490;1000
MISSION;51;30;952516;SCAN_STRUCTURE#sector_40_station_0.txt#sector_39.txt#Labor United#structure_habitat_1.txt#1#null#null#null;Find the target <color='yellow'>Labor United</color> structure in <color='cyan'>Chaferea</color>, scan, and return to Legistron in <color='cyan'>Dogstar Prime</color>;4;<i>Sivpae Fieenoei</i> has requested that someone verify the location of <color='yellow'>Labor United</color> in the <color='cyan'>Chaferea</color> sector. After a recent mix-up at the zoning office, the Financial reps are concerned that construction guidelines were not followed properly. Return to the Legistron station located in the <color='cyan'>Dogstar Prime</color> with the scan data.;19535;7000
MISSION;151;120;638049;FABRICATE#5#2346#sector_20_station_0.txt#sector_0_station_3.txt#null#null#null#null;Produce a light container of <color='yellow'>5</color> <color='yellow'>Reinforced Rubbers</color> at the Medicore University fabricator in <color='cyan'>Cliffs of Drameria</color>;4;The Financial Faction has commissioned a production liaison, <i>Pastzo Welihea</i> at StarShepards Headquarters. After an audit, <color='yellow'>5</color> items of <color='yellow'>Reinforced Rubbers</color> were deemed required. Head on over to <color='cyan'>Cliffs of Drameria</color> and manufacture these <color='yellow'>Reinforced Rubbers</color> at Medicore University.;16844;6125
MISSION;30;45;666507;TRANSPORT#5#1111#sector_58_station_0.txt#sector_4_station_0.txt#null#null#null#null;Transport a light shipment of <color='yellow'>5</color> <color='yellow'>Basic Heavy Lasers</color> from CoraVault in <color='cyan'>Lins</color> to The Dunes in <color='cyan'>The Dunes of Caliph</color>;3;Transport manager <i>Nera Whalasxi</i> has requested a transport of a light shipment of <color='yellow'>5</color> <color='yellow'>Basic Heavy Lasers</color>. They need to be picked up at the storage facility at CoraVault in <color='cyan'>Lins</color>, and transported to The Dunes in <color='cyan'>The Dunes of Caliph</color>. <i>Nera Whalasxi</i> will be waiting at The Dunes to receive the shipment.;7875;3938
MISSION;131;45;934305;SALVAGE#53#20#sector_16.txt#sector_20_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Entropy</color> and return with <color='yellow'>53</color> to Medicore University in <color='cyan'>Cliffs of Drameria</color>;4;While collecting some junk in the <color='cyan'>Entropy</color> system, <i>Bawhe Boza</i> discovered a light haul of <color='yellow'>53</color> <color='yellow'>Special Junk Part</color>. Unable to collect the material alone, <i>Bawhe Boza</i> has requested that a capable pilot salvage the <color='yellow'>Special Junk Part</color> and drop it off at the Medicore University station located in the <color='cyan'>Cliffs of Drameria</color>.;16815;6892
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.98;ship_data_(battle_cruiser_1).txt
SHIP;2;1.09;ship_data_(battle_carrier_1).txt
SHIP;3;1.05;ship_data_(support_carrier_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

