// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Scrapdogs
STATION;type;Civil League
STATION;owner;Timwhilei Jaliszaesiv
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;2
STATION;icon;scrapdogs.png
STATION;filename;sector_85_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-4-1-3-4-2-1-0-1-7-3-2-1-6-7-2-7-90
STATION;interior_seed;5-1-0-9
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
ITEM;678;12;0.51
ITEM;746;17;0.68
ITEM;722;5;1.20
ITEM;700;1;1.01
ITEM;742;10;0.96
ITEM;621;8;1.08
ITEM;661;8;0.59
ITEM;601;9;0.92
ITEM;620;3;0.51
ITEM;600;5;0.83
ITEM;641;6;0.70
ITEM;640;4;0.96
ITEM;660;7;0.67
ITEM;408;3;0.75
ITEM;302;10;1.12
ITEM;407;13;0.82
ITEM;406;14;0.63
ITEM;305;19;1.22
ITEM;301;5;1.10
ITEM;300;7;1.14
ITEM;405;12;1.19
ITEM;303;11;0.92
ITEM;403;17;1.12
ITEM;304;13;0.83
ITEM;1;2;0.86
ITEM;2;132;1.06
ITEM;20;106;0.65
ITEM;21;188;0.55
ITEM;102;266;0.52
ITEM;104;49;0.88
ITEM;103;226;1.15
ITEM;101;51;0.74
ITEM;100;116;0.68
ITEM;114;1;1.24
ITEM;167;166;0.67
ITEM;166;22;1.19
ITEM;153;48;0.63
ITEM;155;130;0.84
ITEM;161;159;1.07
ITEM;160;199;1.11
ITEM;164;69;1.12
ITEM;158;91;1.05
ITEM;165;172;1.03
ITEM;151;94;0.67
ITEM;168;23;1.13
ITEM;169;52;0.66
ITEM;150;67;0.95
ITEM;156;76;0.54
ITEM;162;62;1.19
ITEM;154;80;1.22
ITEM;159;38;0.99
ITEM;152;106;0.69
ITEM;163;83;0.73
ITEM;157;143;0.86
ITEM;2111;13;1.17
ITEM;2201;16;0.89
ITEM;2315;10;1.00
ITEM;2334;8;0.92
ITEM;2532;10;0.68
ITEM;2437;13;0.89
ITEM;2131;9;1.00
ITEM;2100;19;0.61
ITEM;2264;9;0.63
ITEM;2539;1;0.79
ITEM;2294;19;0.59
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;21;1.50
SKILL;220;1.90
SKILL;232;1.99
SKILL;5;0.85
SKILL;16;1.69
SKILL;59;1.57
SKILL;13;0.54
SKILL;34;0.70
SKILL;233;1.52
SKILL;57;0.79
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.09;ship_data_(battle_shuttle_1).txt
SHIP;2;0.91;ship_data_(support_frigate_1).txt
SHIP;3;0.92;ship_data_(transport_utility_1).txt
SHIP;4;0.98;ship_data_(battle_shuttle_1).txt
SHIP;5;0.97;ship_data_(transport_shuttle_1).txt
SHIP;6;1.04;ship_data_(support_shuttle_1).txt
SHIP;7;1.05;ship_data_(recon_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
