MISSION;124;45;735574;CHAT_PILOT#sector_0_station_4.txt#sector_1.txt#Foreman Leswit Jori#npc_ship_data_(pirate_frigate_3)#13#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>Foreman Leswit Jori</i></color> over an outstanding warrant in <color='cyan'>Dellis Primeria</color> and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color>;4;<i>Vismi Zereno</i> of the Financial faction has sent out a warrent for the arrest of <color='yellow'><i>Foreman Leswit Jori</i></color>. Last known sighting of <color='yellow'><i>Foreman Leswit Jori</i></color> was in the area of <color='cyan'>Dellis Primeria</color>. Bring them back alive to the Starbase Corporate Center in the <color='cyan'>Void Starcross</color> system to complete this contract.;56068;18758
MISSION;130;45;123755;SALVAGE#47#20#sector_3.txt#sector_0_station_1.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Starfort Ramos</color> and return with <color='yellow'>47</color> to Lammassu Financial in <color='cyan'>Void Starcross</color>;5;A local prospector, <i>Janweli Heamolekadd</i> of the Commerce faction has located a light quantity of special <color='yellow'>Special Junk Part</color> in the <color='cyan'>Starfort Ramos</color> sector. Head over there and salvage all of the special <color='yellow'>Special Junk Part</color>, and meet <i>Janweli Heamolekadd</i> back at Lammassu Financial station located in the <color='cyan'>Void Starcross</color>.;4950;1688
MISSION;152;120;539883;FABRICATE#10#2425#sector_77_station_0.txt#sector_95_station_1.txt#null#null#null#null;Manufacture <color='yellow'>10</color> <color='yellow'>Heating Units</color> at Lacuna Bandits station fabricator in <color='cyan'>Ballast Crow</color>;3;<i>Portwit Whepea</i> from Acrondia Hub Station has commissioned a production run . He has required a small manufacturing run of <color='yellow'>10</color> <color='yellow'>Heating Units</color>. Set your GPS autopilot to <color='cyan'>Ballast Crow</color> and produce these <color='yellow'>Heating Units</color> on site at the Lacuna Bandits immediately.;23582;8039
MISSION;111;60;806287;KILL_RAIDERS#sector_78_station_0.txt#sector_62.txt#1#20#npc_ship_data_(pirate_escort_3)#random#random#random;Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Jelumus</color>. Return to Tella's in <color='cyan'>Bitcola</color>;5;A medium group of thugs decided to set up camp in the <color='cyan'>Jelumus</color> system. <i>Horehin Fertu</i>, who has recently been elected as Overseer of <color='cyan'>Jelumus</color> by the Commerces, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 20 raiders and return to the Tella's station.;14386;4813
MISSION;152;120;554973;FABRICATE#8#2411#sector_2_station_0.txt#sector_15_station_0.txt#null#null#null#null;Manufacture <color='yellow'>8</color> <color='yellow'>Basic Computers</color> at Oro Omniplex Center station fabricator in <color='cyan'>Merces Academy</color>;5;<i>Fiega Vorescie</i> from Crystalis Broadcasting Station has commissioned a production run . He has required a small manufacturing run of <color='yellow'>8</color> <color='yellow'>Basic Computers</color>. Set your GPS autopilot to <color='cyan'>Merces Academy</color> and produce these <color='yellow'>Basic Computers</color> on site at the Oro Omniplex Center immediately.;38578;16079
MISSION;111;60;267094;KILL_RAIDERS#sector_62_station_0.txt#sector_61.txt#1#20#npc_Ship_data_(Heavy_battlecuiser_5)#random#random#random;Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Ambervellis Drea</color>. Return to Valuestar Hub in <color='cyan'>Jelumus</color>;3;A medium group of thugs decided to set up camp in the <color='cyan'>Ambervellis Drea</color> system. <i>Mesop Madwheei</i>, who has recently been elected as Overseer of <color='cyan'>Ambervellis Drea</color> by the Trades, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 20 raiders and return to the Valuestar Hub station.;13799;3610
MISSION;60;45;132665;HARVEST#43#1#sector_3.txt#sector_0_station_1.txt#null#null#null#null;Harvest special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Starfort Ramos</color> and return with <color='yellow'>43</color> ore to Lammassu Financial in <color='cyan'>Void Starcross</color>;4;A local prospector, <i>Heades Pina</i> of the Financial faction has located a light quantity of special <color='yellow'>Special Adamyte Ore</color> in the <color='cyan'>Starfort Ramos</color> sector. Head over there and harvest all of the special <color='yellow'>Special Adamyte Ore</color>, and meet <i>Heades Pina</i> back at Lammassu Financial station located in the <color='cyan'>Void Starcross</color>.;6451;1688
MISSION;101;120;356193;KILL_RECOVER#sector_0_station_3.txt#sector_64.txt#General Nobeck Aomove#npc_ship_data_(ATC_Nomad)#5#2#333#null;Hijack <color='yellow'><i>General Nobeck Aomove</i></color> in <color='cyan'>Gemini Shoal</color> for <color='yellow'>2</color> <color='yellow'>Transport Units</color> and deliver them to StarShepards Headquarters in <color='cyan'>Void Starcross</color>;3;Authorities in <color='cyan'>Gemini Shoal</color> have reported the location of a known criminal, <color='yellow'><i>General Nobeck Aomove</i></color>. He is carrying some stolen property belonging to members of the Trade faction. Destroy <color='yellow'><i>General Nobeck Aomove</i></color>'s ship and recover the <color='yellow'>2</color> <color='yellow'>Transport Units</color>. When finished, meet up with <i>Leivis Atelow</i>, you can find him at StarShepards Headquarters in <color='cyan'>Void Starcross</color>.;19429;6125
MISSION;151;120;950872;FABRICATE#7#2383#sector_13_station_0.txt#sector_78_station_0.txt#null#null#null#null;Produce a light container of <color='yellow'>7</color> <color='yellow'>Aluminium Plates</color> at the Gemini Mining fabricator in <color='cyan'>Jala</color>;3;The Trade Faction has commissioned a production liaison, <i>Imestu Wengo</i> at Tella's. After an audit, <color='yellow'>7</color> items of <color='yellow'>Aluminium Plates</color> were deemed required. Head on over to <color='cyan'>Jala</color> and manufacture these <color='yellow'>Aluminium Plates</color> at Gemini Mining.;22969;7656
MISSION;105;120;392056;KILL_RECOVER#sector_62_station_0.txt#sector_63.txt#Captain Golas Paekee#npc_ship_data_(ATC_Hammerhead)#23#1#1632#null;Kill <color='yellow'><i>Captain Golas Paekee</i></color> and recover <color='yellow'>1</color> <color='yellow'>Advanced Impact Armor</color> in <color='cyan'>Numbu</color>. Return to Valuestar Hub in <color='cyan'>Jelumus</color>;3;<color='yellow'><i>Captain Golas Paekee</i></color> is wanted for the theft of <color='yellow'>1</color> <color='yellow'>Advanced Impact Armor</color> from <i>Fegee Falltel</i>. This occurred in <color='cyan'>Numbu</color> during the early hours of mining operations run by the Trade faction. Once the pirate <color='yellow'><i>Captain Golas Paekee</i></color> has been dispatched, return the items to <i>Fegee Falltel</i> at the Valuestar Hub station anchored in <color='cyan'>Jelumus</color>.;245294;57446
MISSION;134;45;939024;SALVAGE#244#20#sector_16.txt#sector_3_station_0.txt#null#null#null#null;In <color='cyan'>Entropy</color>, Salvage <color='yellow'>Special Junk Part</color> and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color> with at least <color='yellow'>244</color>;3;A local company in <color='cyan'>Entropy</color> has requested a medium salvage of <color='yellow'>244</color> <color='yellow'>Special Junk Part</color>. This is a rare find, and the client has requested someone bring the parts back to Daemon Ammunitions station located in the <color='cyan'>Starfort Ramos</color>. A Trade faction representative will be waiting to take the salvage from you.;90110;21103
MISSION;55;30;460294;SCAN_STRUCTURE#sector_65_station_0.txt#sector_0.txt#Shlick Diamond's#structure_raider_hideout.txt#1#null#null#null;In <color='cyan'>Void Starcross</color>, Scan the <color='yellow'>Shlick Diamond's</color> structure and return to CoraVault Hub in <color='cyan'>Pindoris</color>;4;The Financial building council has recommended that a survey scan is required for the old <color='yellow'>Shlick Diamond's</color> structure located in <color='cyan'>Void Starcross</color>. <i>Gillalocki Joemitim</i> has been appointed to oversee the survey. Once the scan has been completed, return to the CoraVault Hub station back in <color='cyan'>Pindoris</color> with the scan report.;98478;16413
MISSION;13;30;789031;DELIVERY#184#210#sector_100_station_0.txt#sector_0_station_0.txt#null#null#null#null;Take medium shipment of <color='yellow'>184</color> <color='yellow'>Micro Processors</color> and deliver to <color='cyan'>Grace</color> and dock at Fellacore Research Center Station;5;Biomate University Station has contacted our client informing them of some medium cargo that remains unclaimed by a former employee, <i>Yafoe Wheapadue</i> of the Commerce Faction. <color='yellow'>184</color> <color='yellow'>Micro Processors</color> need to be delivered to <color='cyan'>Grace</color>, Fellacore Research Center Station.;37517;10719
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.06;ship_data_(recon_cruiser_1).txt
SHIP;2;1.10;ship_data_(transport_cruiser_1).txt
SHIP;3;0.98;ship_data_(recon_frigate_1).txt
SHIP;4;0.98;ship_data_(battle_shuttle_1).txt
SHIP;5;1.04;ship_data_(support_escort_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

