// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Astrox Security Patrol
STATION;type;Headquarters
STATION;owner;Akweliile Kinastop
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;4
STATION;icon;asp.png
STATION;filename;sector_35_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-6-0-3-3-3-6-1-3-9-3-4-0-6-4-2-2-0
STATION;interior_seed;3-0-0-6
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;45817.67
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.80;npc_ship_data_(battle_escort_1).txt
MERC;7;1.54;npc_ship_data_(transport_carrier_1).txt
MERC;2;1.54;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (1) Items ;406x917;1311;143774.70
ITEM;62;83;0.75;476.80
ITEM;2123;113;0.62;3714282.00
ITEM;2212;34;0.98;4302900.00
ITEM;77;143;0.97;1003.50
ITEM;3;281;0.77;16.34
ITEM;726;75;0.76;12707.81
ITEM;114;559;0.61;1.81
ITEM;21;352;0.67;27.03
ITEM;2432;22;0.70;30261.85
ITEM;2440;2;0.99;88767.79
ITEM;113;128;0.78;5.59
ITEM;216;221;0.56;170.26
ITEM;693;43;0.66;3735.94
ITEM;720;7;1.24;7963.13
ITEM;217;73;1.13;352.23
ITEM;215;92;1.10;283.93
ITEM;323;28;0.54;1123.17
ITEM;1450;10;0.58;7005.47
ITEM;152;167;0.96;13.94
ITEM;2344;24;0.71;106.03
ITEM;156;316;1.05;22.16
ITEM;642;9;1.14;26308.45
ITEM;640;13;0.50;4110.31
ITEM;749;53;0.85;234296.90
ITEM;734;25;1.10;296796.90
ITEM;760;49;1.16;311796.90
ITEM;1300;21;0.65;10320.63
ITEM;22;137;0.78;52.63
ITEM;663;15;0.63;26906.01
ITEM;662;14;0.82;19448.29
ITEM;100;461;1.08;1.75
ITEM;408;0;2.50;39.13
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;45;0.89
SKILL;51;1.24
SKILL;53;0.54
SKILL;61;0.55
SKILL;222;0.89
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;120;45;717435;CHAT_PILOT#sector_15_station_0.txt#sector_95.txt#Watchman Joxa Goateoi#npc_ship_data_(support_cruiser_1)#19#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Watchman Joxa Goateoi</i></color> in <color='cyan'>Temple Gates</color> and return to Crystalis Broadcasting in <color='cyan'>Jermicus</color>;17;<i>Wawit Xonlares</i> has requested that debt be collected from <color='yellow'><i>Watchman Joxa Goateoi</i></color>. After 3 payments to the Judicial faction for transport fines, <color='yellow'><i>Watchman Joxa Goateoi</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Watchman Joxa Goateoi</i></color> was in the vicinity of the <color='cyan'>Temple Gates</color> system. Have a chat with them, collect the debt, and return to the Crystalis Broadcasting in the <color='cyan'>Jermicus</color> system to deliver the payment.;8782;1500
MISSION;11;30;572856;DELIVERY#4#1511#sector_63_station_0.txt#sector_57_station_0.txt#null#null#null#null;Deliver light container of <color='yellow'>4</color> <color='yellow'>Improved Engine Cores</color> to Lammassu Hub Station in <color='cyan'>Numbu</color>;15;The Law Faction has commissioned a transport liaison, <i>Zenobeck Timfe</i> at OmniTrust. After an audit, <color='yellow'>4</color> items of <color='yellow'>Improved Engine Cores</color> were left un accounted for. Head on over to <color='cyan'>Numbu</color> and deliver these <color='yellow'>Improved Engine Cores</color> to Lammassu Hub.;10850;2625
MISSION;20;120;981963;COLLECT#2#1621#sector_56_station_1.txt#sector_14_station_0.txt#null#null#null#null;Collect a light shipment of <color='yellow'>Improved Armor Exteriors</color> and return to ValueStar in <color='cyan'>Hunu</color>;15;The Law Faction's fabrication representative <i>Sobac Sevmelvis</i> is running a bit short on some items needed for an upcoming production run at ValueStar Station in <color='cyan'>Hunu</color>. Perhaps you can collect <color='yellow'>2</color> <color='yellow'>Improved Armor Exteriors</color> and bring them by the fabricator at ValueStar.;8525;2063
MISSION;83;60;584922;RECOVER#31#2049#sector_36.txt#sector_78_station_0.txt#null#null#null#null;Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Beacon Spita</color> and bring back to Tella's in <color='cyan'>Bitcola</color>;15;A medium shipping crate has come up missing from a mining operation move in <color='cyan'>Beacon Spita</color>. <i>Wheda Eibinoxe</i> is looking for an able pilot to scoop up the shipment of <color='yellow'>31</color> <color='yellow'>Radar Systems</color>. Once the crate has been recovered, take it to the Tella's station located in the <color='cyan'>Bitcola</color> where <i>Wheda Eibinoxe</i> will be waiting with your payment.;34368;6030
MISSION;32;45;877523;TRANSPORT#2#1070#sector_65_station_0.txt#sector_66_station_1.txt#null#null#null#null;Move light cargo from CoraVault Hub in <color='cyan'>Pindoris</color> and dock with <color='yellow'>2</color> <color='yellow'>Premium Rocket Launchers</color> at Xellon in <color='cyan'>Ele</color>;15;<i>Mosdo Zilscobar</i> was unable to complete a large shipment from CoraVault Hub to Xellon. A light shipment containing <color='yellow'>2</color> <color='yellow'>Premium Rocket Launchers</color> is located at the storage bay at CoraVault Hub in <color='cyan'>Pindoris</color>. Retrieve the <color='yellow'>Premium Rocket Launchers</color> and transport them to Xellon in <color='cyan'>Ele</color>.;23960;3446
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.98;ship_data_(excavation_escort_1).txt
SHIP;2;0.97;ship_data_(support_carrier_1).txt
SHIP;3;1.01;ship_data_(support_escort_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

