// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Tella's
STATION;type;Entertainment Hub
STATION;owner;Jidzangee Akleinortis
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;2
STATION;icon;tellas.png
STATION;filename;sector_78_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-3-0-2-1-0-2-0-5-3-2-6-90
STATION;interior_seed;3-8-45-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;27352.18
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;6;1.40;npc_ship_data_(battle_carrier_1).txt
MERC;1;1.77;npc_ship_data_(recon_carrier_1).txt
MERC;2;0.67;npc_ship_data_(transport_escort_1).txt
MERC;3;0.55;npc_ship_data_(support_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Purchase Order for: (1) Items ;1025x13;157622;111921.50
ITEM;158;38;1.07;84.41843
ITEM;104;250;0.25;84.41843
ITEM;680;33;0.89;19535.31
ITEM;672;16;0.82;19535.31
ITEM;674;37;0.53;54783.62
ITEM;711;17;0.87;54783.62
ITEM;157;191;0.70;54783.62
ITEM;160;188;0.87;19.03531
ITEM;161;98;1.19;19.03531
ITEM;728;12;0.66;19.03531
ITEM;121;41;0.69;19.03531
ITEM;106;42;0.81;19.03531
ITEM;601;4;0.86;19.03531
ITEM;150;120;0.72;6.970103
ITEM;303;776;0.59;40.63121
ITEM;107;42;0.69;40.63121
ITEM;1200;16;1.12;40.63121
ITEM;1201;10;1.14;40.63121
ITEM;407;0;2.50;40.63121
ITEM;103;290;1.02;40.63121
ITEM;1160;5;0.74;40.63121
ITEM;2200;17;0.97;40.63121
ITEM;1161;24;1.23;6055.627
ITEM;118;35;0.74;6055.627
ITEM;120;291;0.68;145.653
ITEM;600;9;0.73;145.653
ITEM;1101;17;0.94;145.653
ITEM;1055;14;0.63;145.653
ITEM;726;4;0.73;145.653
ITEM;164;37;1.03;145.653
ITEM;154;36;0.81;145.653
ITEM;114;250;0.25;145.653
ITEM;21;4252;0.58;94.2825
ITEM;113;40;0.71;94.2825
ITEM;119;39;0.85;94.2825
ITEM;721;43;0.56;2708.475
ITEM;722;8;1.24;2708.475
ITEM;2556;15;0.62;2708.475
ITEM;159;61;0.61;2708.475
ITEM;710;33;0.88;2708.475
ITEM;117;43;0.79;2708.475
ITEM;152;216;0.97;10.59537
ITEM;156;83;0.92;10.59537
ITEM;640;4;0.92;10.59537
ITEM;162;5;0.60;10.59537
ITEM;749;32;1.24;10.59537
ITEM;754;12;0.69;145353.1
ITEM;124;35;0.72;145353.1
ITEM;75;9;0.75;145353.1
ITEM;2417;7;0.95;145353.1
ITEM;78;54;0.85;145353.1
ITEM;2120;18;0.75;145353.1
ITEM;2121;1343;0.59;255.5819
ITEM;2122;60;0.67;255.5819
ITEM;2125;1823;0.72;795.142
ITEM;2127;86;0.97;795.142
ITEM;122;46;0.66;795.142
ITEM;100;281;0.78;795.142
ITEM;408;0;1.13;795.142
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;222;0.90
SKILL;26;0.82
SKILL;65;0.63
SKILL;23;1.29
SKILL;42;0.99
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;30;240;777973;TRANSPORT#89#124#sector_0_station_3.txt#sector_14_station_0.txt#null#null#null#null;Transport a light shipment of <color='yellow'>89</color> <color='yellow'>Titanytes</color> from StarShepards Headquarters in <color='cyan'>Void Starcross</color> to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;6;Transport manager <i>Sivbo Furamel</i> has requested a transport of a light shipment of <color='yellow'>89</color> <color='yellow'>Titanytes</color>. They need to be picked up at the storage facility at StarShepards Headquarters in <color='cyan'>Void Starcross</color>, and transported to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>. <i>Sivbo Furamel</i> will be waiting at Imperium Republica  to receive the shipment. ;8170;1900
MISSION;110;600;625799;KILL_RAIDERS#sector_0_station_3.txt#sector_35.txt#2#10#npc_ship_data_(pirate_shuttle_1)#npc_ship_data_(recon_escort_1)#npc_ship_data_(support_escort_1)#npc_ship_data_(excavation_escort_1);Hunt <color='yellow'>2 Raiders</color> level 10 in <color='cyan'>Felishar</color> and return to StarShepards Headquarters in <color='cyan'>Void Starcross</color>;6;There has been a small Raider gang hanging around the warp gates in <color='cyan'>Felishar</color>. The Pirate faction has requested a sector clearance contract. Head on over to the <color='cyan'>Felishar</color> and clear out the <color='yellow'>2 Raiders</color>, level 10 that have set up camp there. Dock at the StarShepards Headquarters station in <color='cyan'>Void Starcross</color> when complete.;31800;12000
MISSION;63;170;961787;HARVEST#213#1#sector_56.txt#sector_35_station_0.txt#null#null#null#null;Extract <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Hunu</color> and return to Astrox Security Patrol in <color='cyan'>Felishar</color> with minimum of <color='yellow'>213</color>;8;The Sovereign faction has reported that a special medium load of <color='yellow'>Special Adamyte Ore</color> has been scanned in the <color='cyan'>Hunu</color> system. <i>Rastpoe Sipoa</i> is credited with the find, but His claim is currently invalid. Hurry up and harvest the <color='yellow'>Special Adamyte Ore</color> and return to Astrox Security Patrol, in the <color='cyan'>Felishar</color>.;14756;4100
MISSION;40;120;312612;SCAN_PILOT#sector_0_station_4.txt#sector_77.txt#Bishop Akfae Youbargilla#npc_ship_data_(recon_destroyer_1)#6#null#null#null;Locate and scan <color='yellow'><i>Bishop Akfae Youbargilla</i></color> in <color='cyan'>Ballast Crow</color> and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color>;7;<i>Xonport Vinodorn</i> has requested a location verification on a recent employee. <color='yellow'><i>Bishop Akfae Youbargilla</i></color> is supposed to be running a survey in <color='cyan'>Ballast Crow</color>. Please verify the location of this pilot by scanning their ship and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color>.;9266;1550
MISSION;83;150;756024;RECOVER#48#303#sector_95.txt#sector_35_station_0.txt#null#null#null#null;Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Temple Gates</color>, recover <color='yellow'>48</color> <color='yellow'>Office Furnitures</color> and bring back to Astrox Security Patrol in <color='cyan'>Felishar</color>;6;A medium shipping crate has come up missing from a mining operation move in <color='cyan'>Temple Gates</color>. <i>Zetafon Tadlelils</i> is looking for an able pilot to scoop up the shipment of <color='yellow'>48</color> <color='yellow'>Office Furnitures</color>. Once the crate has been recovered, take it to the Astrox Security Patrol station located in the <color='cyan'>Felishar</color> where <i>Zetafon Tadlelils</i> will be waiting with your payment.;15296;4250
MISSION;130;140;168273;SALVAGE#3#22#sector_57.txt#sector_56_station_1.txt#null#null#null#null;Salvage <color='yellow'>Special Undamaged Part</color> in <color='cyan'>Ponze</color> and return with <color='yellow'>3</color> to ValueStar in <color='cyan'>Hunu</color>;6;A local prospector, <i>Gotsev Youcouwhea</i> of the Pirate faction has located a light quantity of special <color='yellow'>Special Undamaged Part</color> in the <color='cyan'>Ponze</color> sector. Head over there and salvage all of the special <color='yellow'>Special Undamaged Part</color>, and meet <i>Gotsev Youcouwhea</i> back at ValueStar station located in the <color='cyan'>Hunu</color>.;11712;3750
MISSION;120;120;330776;CHAT_PILOT#sector_95_station_1.txt#sector_14.txt#Mr. Wodorn Dodiesaw#npc_ship_data_(battle_utility_2)#0#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Mr. Wodorn Dodiesaw</i></color> in <color='cyan'>Gate of Alpharis</color> and return to Acrondia Hub in <color='cyan'>Temple Gates</color>;6;<i>Bemjel Ronxonmel</i> has requested that debt be collected from <color='yellow'><i>Mr. Wodorn Dodiesaw</i></color>. After 3 payments to the Pirate faction for transport fines, <color='yellow'><i>Mr. Wodorn Dodiesaw</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Mr. Wodorn Dodiesaw</i></color> was in the vicinity of the <color='cyan'>Gate of Alpharis</color> system. Have a chat with them, collect the debt, and return to the Acrondia Hub in the <color='cyan'>Temple Gates</color> system to deliver the payment.;22314;6200
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.91;ship_data_(excavation_utility_3).txt
SHIP;2;1.05;ship_data_(battle_frigate_1).txt
SHIP;3;1.02;ship_data_(battle_cruiser_1).txt
SHIP;4;1.02;ship_data_(titan).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

