// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Ferce Hub
STATION;type;Court Warehouse
STATION;owner;Leibe Leitoei
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;1
STATION;icon;ferce.png
STATION;filename;sector_99_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-4-0-1-3-0-8-1-5-4-1-5-0-2-7-3-7-90
STATION;interior_seed;3-7-0-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;64556.98
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.75;npc_ship_data_(recon_frigate_1).txt
MERC;7;1.92;npc_ship_data_(excavation_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (1) Items ;214x83;19491.00;105658.30
ITEM;743;38;0.69;97654.95
ITEM;748;40;0.68;95982.85
ITEM;731;39;0.79;114168.30
ITEM;753;43;0.71;101549.80
ITEM;759;37;0.81;117029.50
ITEM;679;3;1.23;163978.70
ITEM;741;31;0.69;26509.76
ITEM;746;27;0.70;27252.29
ITEM;730;8;0.52;18939.94
ITEM;751;41;0.71;27482.26
ITEM;757;32;0.77;30389.24
ITEM;1170;1;0.78;1974.57
ITEM;20;43;0.93;81.43
ITEM;51;37;1.11;36.19
ITEM;2119;30;0.76;290.79
ITEM;742;39;0.71;60591.40
ITEM;747;14;1.07;97088.76
ITEM;733;33;0.68;58009.57
ITEM;211;0;1.34;129.54
ITEM;752;41;0.77;67276.17
ITEM;758;30;0.78;68337.33
ITEM;712;13;0.92;123133.10
ITEM;209;0;1.31;108.83
ITEM;692;18;0.51;6574.20
ITEM;700;9;1.22;5604.44
ITEM;2250;2;1.19;719985.80
ITEM;690;5;1.16;15913.31
ITEM;1460;3;1.07;53398.82
ITEM;158;72;1.02;41.72
ITEM;2434;2;0.71;332.32
ITEM;155;50;0.75;14.51
ITEM;680;1;1.21;27772.19
ITEM;672;3;0.86;159786.40
ITEM;740;44;0.70;9006.17
ITEM;745;15;0.25;2263.31
ITEM;676;8;1.08;98088.76
ITEM;732;31;0.83;11021.72
ITEM;750;4;1.15;15763.31
ITEM;756;40;0.81;10648.51
ITEM;214;0;1.17;165.25
ITEM;157;36;0.92;35.22
ITEM;728;15;0.25;2263.31
ITEM;210;0;1.32;116.81
ITEM;212;0;1.17;118.01
ITEM;150;50;0.74;7.31
ITEM;2220;3;0.90;43247.93
ITEM;407;9;0.93;358.11
ITEM;103;71;0.51;0.38
ITEM;1160;1;0.83;2009.94
ITEM;213;0;1.23;137.34
ITEM;600;3;1.10;5004.44
ITEM;2117;41;0.85;202.74
ITEM;1150;3;1.21;2777.22
ITEM;1100;7;1.00;450.44
ITEM;1050;7;1.12;2143.86
ITEM;726;37;0.65;8282.01
ITEM;164;54;0.96;19.63
ITEM;1400;5;0.76;3634.88
ITEM;721;30;0.69;3527.70
ITEM;722;27;0.82;4344.51
ITEM;216;0;1.22;227.84
ITEM;720;41;0.74;3816.00
ITEM;217;0;1.34;290.61
ITEM;215;0;1.24;221.07
ITEM;723;25;0.66;3357.44
ITEM;2550;7;0.54;31743.90
ITEM;755;13;0.74;3845.33
ITEM;2556;8;0.91;58383.90
ITEM;725;8;0.89;11863.31
ITEM;710;1;1.01;4554.44
ITEM;152;71;0.59;6.04
ITEM;156;85;1.13;34.12
ITEM;640;2;0.57;2354.44
ITEM;744;31;0.73;156662.20
ITEM;749;15;0.25;37721.88
ITEM;734;28;0.85;187342.10
ITEM;754;34;0.77;168101.60
ITEM;760;43;0.75;161925.60
ITEM;75;4;0.98;110.90
ITEM;2416;6;0.93;1255.47
ITEM;77;2;0.84;174.70
ITEM;78;45;0.85;229.02
ITEM;2120;8;0.79;280.09
ITEM;2122;17;1.04;640.27
ITEM;100;35;1.10;0.50
ITEM;408;4;1.03;4869.47
ITEM;1470;6;1.21;68875.02
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;211;0.68
SKILL;25;1.18
SKILL;46;0.74
SKILL;53;1.23
SKILL;222;1.29
SKILL;232;0.76
SKILL;74;2.00
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;13;150;521589;DELIVERY#157#111#sector_14_station_1.txt#sector_1_station_0.txt#null#null#null#null;Take medium shipment of <color='yellow'>157</color> <color='yellow'>Aluminium Shards</color> and deliver to <color='cyan'>Gate of Alpharis</color> and dock at Horizons Station;9;Quantex Station has contacted our client informing them of some medium cargo that remains unclaimed by a former employee, <i>Sivsip Nortisjohvel</i> of the Temple Faction. <color='yellow'>157</color> <color='yellow'>Aluminium Shards</color> need to be delivered to <color='cyan'>Gate of Alpharis</color>, Horizons Station.;14872;4600
MISSION;151;120;669376;FABRICATE#6#2458#sector_57_station_0.txt#sector_14_station_1.txt#null#null#null#null;Produce a light container of <color='yellow'>6</color> <color='yellow'>Large Processors</color> at the OmniTrust fabricator in <color='cyan'>Ponze</color>;9;The Temple Faction has commissioned a production liaison, <i>Kolze Fonuhzils</i> at Horizons. After an audit, <color='yellow'>6</color> items of <color='yellow'>Large Processors</color> were deemed required. Head on over to <color='cyan'>Ponze</color> and manufacture these <color='yellow'>Large Processors</color> at OmniTrust.;16165;5000
MISSION;132;140;483561;SALVAGE#17#25#sector_80.txt#sector_95_station_1.txt#null#null#null#null;Dismantle <color='yellow'>Special Module Fragment</color> in <color='cyan'>Blades of Dandrow</color> and return with <color='yellow'>17</color> to Acrondia Hub in <color='cyan'>Temple Gates</color>;9;<i>Ilsso Whayi</i> has discovered a light cache of <color='yellow'>Special Module Fragment</color> in <color='cyan'>Blades of Dandrow</color>. He is currently unable to dismantle the <color='yellow'>Special Module Fragment</color>, and has requested a pilot to head over and salvage the <color='yellow'>17</color> <color='yellow'>Special Module Fragment</color>. Once complete, head over and meet <i>Ilsso Whayi</i> at the Acrondia Hub station located in the <color='cyan'>Temple Gates</color>.;14518;6125
MISSION;10;120;826010;DELIVERY#3#1007#sector_0_station_1.txt#sector_77_station_0.txt#null#null#null#null;Dock at Lammassu Financial in <color='cyan'>Void Starcross</color> to deliver a light shipment of <color='yellow'>3</color> <color='yellow'>Kinetics G-series Dual 20mms</color>;10;<i>Febira Diebast</i> runs a Missionary shipping company at Lacuna Bandits. After having some issues with a transport ship, <color='yellow'>3</color> items of <color='yellow'>Kinetics G-series Dual 20mms</color> were left behind. Head on over to <color='cyan'>Void Starcross</color> and deliver these <color='yellow'>Kinetics G-series Dual 20mms</color> to Lammassu Financial.;8170;1900
MISSION;143;150;481255;REFINE#37#6#sector_0_station_2.txt#sector_0_station_0.txt#null#null#null#null;Refine medium shipment of <color='yellow'>37</color> <color='yellow'>Plasite Ores</color> in <color='cyan'>Void Starcross</color> at the StarGypsy Warehouse station refinery;10;Biomate University Station has contacted our client informing them of some medium cargo that remains unclaimed by former employees, <i>Qecor Corgot</i> of the Missionary Faction. <color='yellow'>37</color> <color='yellow'>Plasite Ores</color> need to be refined in <color='cyan'>Void Starcross</color>, at the StarGypsy Warehouse Station refinery.;10640;1400
MISSION;110;600;363933;KILL_RAIDERS#sector_60_station_0.txt#sector_77.txt#1#10#npc_ship_data_(pirate_shuttle_1)#npc_ship_data_(recon_escort_1)#npc_ship_data_(support_escort_1)#npc_ship_data_(excavation_escort_1);Hunt <color='yellow'>1 Raider</color> level 10 in <color='cyan'>Ballast Crow</color> and return to Biomart in <color='cyan'>Veloxi</color>;9;There has been a small Raider gang hanging around the warp gates in <color='cyan'>Ballast Crow</color>. The Temple faction has requested a sector clearance contract. Head on over to the <color='cyan'>Ballast Crow</color> and clear out the <color='yellow'>1 Raider</color>, level 10 that have set up camp there. Dock at the Biomart station in <color='cyan'>Veloxi</color> when complete.;59834;15000
MISSION;63;170;165846;HARVEST#247#1#sector_14.txt#sector_0_station_5.txt#null#null#null#null;Extract <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Gate of Alpharis</color> and return to Proctors Center in <color='cyan'>Void Starcross</color> with minimum of <color='yellow'>247</color>;9;The Temple faction has reported that a special medium load of <color='yellow'>Special Adamyte Ore</color> has been scanned in the <color='cyan'>Gate of Alpharis</color> system. <i>Xonada Vears</i> is credited with the find, but His claim is currently invalid. Hurry up and harvest the <color='yellow'>Special Adamyte Ore</color> and return to Proctors Center, in the <color='cyan'>Void Starcross</color>.;16757;5125
MISSION;131;140;752133;SALVAGE#6#21#sector_78.txt#sector_3_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Scrap Part</color> in <color='cyan'>Bitcola</color> and return with <color='yellow'>6</color> to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;11;While collecting some junk in the <color='cyan'>Bitcola</color> system, <i>Sihal Fuakbe</i> discovered a light haul of <color='yellow'>6</color> <color='yellow'>Special Scrap Part</color>. Unable to collect the material alone, <i>Sihal Fuakbe</i> has requested that a capable pilot salvage the <color='yellow'>Special Scrap Part</color> and drop it off at the Daemon Ammunitions station located in the <color='cyan'>Starfort Ramos</color>.;14054;4800
MISSION;151;120;691218;FABRICATE#7#2429#sector_35_station_0.txt#sector_0_station_5.txt#null#null#null#null;Produce a light container of <color='yellow'>7</color> <color='yellow'>Assorted Gaskets</color> at the Astrox Security Patrol fabricator in <color='cyan'>Felishar</color>;9;The Temple Faction has commissioned a production liaison, <i>Voda Ajhin</i> at Proctors Center. After an audit, <color='yellow'>7</color> items of <color='yellow'>Assorted Gaskets</color> were deemed required. Head on over to <color='cyan'>Felishar</color> and manufacture these <color='yellow'>Assorted Gaskets</color> at Astrox Security Patrol.;13000;2500
MISSION;124;180;975591;CHAT_PILOT#sector_0_station_2.txt#sector_96.txt#Engineer Xakadd Yames#npc_ship_data_(battle_utility_2)#7#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>Engineer Xakadd Yames</i></color> over an outstanding warrant in <color='cyan'>Arch of Mori</color> and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;9;<i>Mihea Naliaxenwen</i> of the Temple faction has sent out a warrent for the arrest of <color='yellow'><i>Engineer Xakadd Yames</i></color>. Last known sighting of <color='yellow'><i>Engineer Xakadd Yames</i></color> was in the area of <color='cyan'>Arch of Mori</color>. Bring them back alive to the StarGypsy Warehouse in the <color='cyan'>Void Starcross</color> system to complete this contract.;22838;3600
MISSION;42;120;708307;SCAN_PILOT#sector_35_station_0.txt#sector_80.txt#Professor Zilslei Gotmadrest#npc_ship_data_(excavation_frigate_1)#22#null#null#null;Track down and scan <color='yellow'><i>Professor Zilslei Gotmadrest</i></color> in <color='cyan'>Blades of Dandrow</color> and return to Astrox Security Patrol in <color='cyan'>Felishar</color>;9;Temple faction has requested that we verify the whereabouts of a <color='yellow'><i>Professor Zilslei Gotmadrest</i></color>. After a recent ban order from the high court minister <i>Ciesa Cosasip</i>, <color='cyan'>Blades of Dandrow</color> officials are worried that <color='yellow'><i>Professor Zilslei Gotmadrest</i></color> might cause problems for the local merchants. Scan <color='yellow'><i>Professor Zilslei Gotmadrest</i></color>'s ship and return to Astrox Security Patrol in <color='cyan'>Felishar</color> with the scan record.;17379;6475
MISSION;113;600;357969;KILL_RAIDERS#sector_0_station_4.txt#sector_61.txt#2#25#npc_ship_data_(pirate_shuttle_1)#npc_ship_data_(recon_frigate_1)#npc_ship_data_(support_escort_1)#npc_ship_data_(excavation_escort_1);Exterminate <color='yellow'>2 Raiders</color> in <color='cyan'>Ambervellis Drea</color> and dock at Starbase Corporate Center in <color='cyan'>Void Starcross</color>;11;Reports of a small skilled gang in the <color='cyan'>Ambervellis Drea</color> system have locals concerned, and Orthodox faction members are worried about the increase in criminal activity around their local production facilities. Eliminate <color='yellow'>2 Raiders</color> in total, and return to Starbase Corporate Center station in <color='cyan'>Void Starcross</color> when complete.;90182;33600
MISSION;127;120;588229;CHAT_PILOT#sector_56_station_0.txt#sector_102.txt#Father Zepi Velxi#npc_ship_data_(transport_escort_3)#17#missions_transfer_pilot.txt#0#null;Transfer a legal document to <color='yellow'><i>Father Zepi Velxi</i></color> in <color='cyan'>Lightless</color>. Return with confirmation at Transporteers in <color='cyan'>Hunu</color>;11;<color='yellow'><i>Father Zepi Velxi</i></color> is required to provide the Orthodox faction a signed legal document. <color='yellow'><i>Father Zepi Velxi</i></color> has returned this document unsigned. Last known sighting of <color='yellow'><i>Father Zepi Velxi</i></color> was in the area of <color='cyan'>Lightless</color>. Locate them and resolve this problem. Then return to Transporteers in the <color='cyan'>Hunu</color> system to deliver confirmation.;28945;8125
MISSION;123;180;401151;CHAT_PILOT#sector_0_station_3.txt#sector_56.txt#Sir Jaglas Fongorepoe#npc_ship_data_(battle_escort_2)#17#missions_arrest_escort.txt#0#null;Detain <color='yellow'><i>Sir Jaglas Fongorepoe</i></color> in <color='cyan'>Hunu</color> and escort them to StarShepards Headquarters in <color='cyan'>Void Starcross</color>;9;<i>Mawhe Fecorfall</i> has requested that <color='yellow'><i>Sir Jaglas Fongorepoe</i></color> be escorted back into custody. Authorities of the Temple faction has determined guilt opon the accused. <color='yellow'><i>Sir Jaglas Fongorepoe</i></color> has refused to cooperate with the courts. Last known sighting of <color='yellow'><i>Sir Jaglas Fongorepoe</i></color> was in the vicinity of the <color='cyan'>Hunu</color> system. Have a chat with them ann bring them back for further questioning.;30726;8625
MISSION;32;240;685573;TRANSPORT#12#1120#sector_14_station_1.txt#sector_0_station_4.txt#null#null#null#null;Move light cargo from Horizons in <color='cyan'>Gate of Alpharis</color> and dock with <color='yellow'>12</color> <color='yellow'>Focused x1 Lasers</color> at Starbase Corporate Center in <color='cyan'>Void Starcross</color>;9;<i>Zanei Coceemast</i> was unable to complete a large shipment from Horizons to Starbase Corporate Center. A light shipment containing <color='yellow'>12</color> <color='yellow'>Focused x1 Lasers</color> is located at the storage bay at Horizons in <color='cyan'>Gate of Alpharis</color>. Retrieve the <color='yellow'>Focused x1 Lasers</color> and transport them to Starbase Corporate Center in <color='cyan'>Void Starcross</color>.;12180;2100
MISSION;128;120;344021;CHAT_PILOT#sector_9_station_0.txt#sector_79.txt#Liaison Naliayi Rijancoan#npc_ship_data_(kj_frigate_1)#11#missions_transfer_pilot.txt#0#null;Transfer a termination notice to <color='yellow'><i>Liaison Naliayi Rijancoan</i></color> in <color='cyan'>Dragon Sea</color> and return to Foodmaid Hub in <color='cyan'>Forges of Mintar</color>;9;<color='yellow'><i>Liaison Naliayi Rijancoan</i></color> has been fired by the Temple faction for poor performance. <color='yellow'><i>Liaison Naliayi Rijancoan</i></color> has refused all calls from their employer. Last seen in the <color='cyan'>Dragon Sea</color> system. Contact <color='yellow'><i>Liaison Naliayi Rijancoan</i></color> and deliver the message. Then return to the Foodmaid Hub in the <color='cyan'>Forges of Mintar</color> system a confirmation.;35081;10650
MISSION;120;120;685493;CHAT_PILOT#sector_57_station_0.txt#sector_78.txt#Overseer Sipjo Qome#npc_ship_data_(constellation_destroyer_1)#10#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Overseer Sipjo Qome</i></color> in <color='cyan'>Bitcola</color> and return to OmniTrust in <color='cyan'>Ponze</color>;9;<i>Ciecee Befast</i> has requested that debt be collected from <color='yellow'><i>Overseer Sipjo Qome</i></color>. After 3 payments to the Temple faction for transport fines, <color='yellow'><i>Overseer Sipjo Qome</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Overseer Sipjo Qome</i></color> was in the vicinity of the <color='cyan'>Bitcola</color> system. Have a chat with them, collect the debt, and return to the OmniTrust in the <color='cyan'>Ponze</color> system to deliver the payment.;37374;9300
MISSION;91;300;679073;KILL_PILOT#sector_3_station_0.txt#sector_78.txt#Czar Lelsa Fonrastfa#npc_ship_data_(titan)#7#null#null#null;Assassinate in-experienced <color='yellow'><i>Czar Lelsa Fonrastfa</i></color> in <color='cyan'>Bitcola</color> and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;9;The Temple faction has released a kill contract for the criminal <color='yellow'><i>Czar Lelsa Fonrastfa</i></color>. Wanted for capital crimes including theft and hijacking, the ASP has approved the contract and have released <color='yellow'><i>Czar Lelsa Fonrastfa</i></color>'s last known location. Head to <color='cyan'>Bitcola</color>, and eliminate <color='yellow'><i>Czar Lelsa Fonrastfa</i></color>'s ship. Once complete, head to <color='cyan'>Starfort Ramos</color> and dock at Daemon Ammunitions for payment.;69668;21150
MISSION;82;120;975454;RECOVER#2#1171#sector_79.txt#sector_77_station_0.txt#null#null#null#null;Retrieve a light cache of <color='yellow'>2</color> <color='yellow'>Ion Beam Class 2s</color> from a <color='yellow'>crate</color> in <color='cyan'>Dragon Sea</color> sector, drop at Lacuna Bandits in <color='cyan'>Ballast Crow</color>;10;After a skirmish in <color='cyan'>Dragon Sea</color>, the Missionary's <i>Astpa Dornamxe</i> cannot account for a light shipment of <color='yellow'>Ion Beam Class 2s</color> he was transporting before the attack. Head out to the <color='cyan'>Dragon Sea</color> sector and look for the crate. When found, take the contents of the crate back to the Lacuna Bandits station in the <color='cyan'>Ballast Crow</color> sector.;16200;6000
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.00;ship_data_(transport_carrier_1).txt
SHIP;2;1.04;ship_data_(pirate_shuttle_1).txt
SHIP;3;1.02;ship_data_(battle_shuttle_1).txt
SHIP;4;1.10;ship_data_(transport_frigate_1).txt
SHIP;5;1.02;ship_data_(excavation_shuttle_1).txt
SHIP;6;0.99;ship_data_(transport_escort_1).txt
SHIP;7;1.08;ship_data_(transport_escort_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>




